Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Speed,Max Speed,Training Stress Score®,Steps,Max Depth,Dive Time,Min Water Temp,Gas Type,Surface Interval,Decompression,Water Type,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Single-Gas Dive,8/22/25 11:09,FALSE,Single-Gas Dive,0,139,1:12:22,75,93,--,--,0,--,57,1:11:20,86,Air (+1),1:02:37,No,Salt,1:12:22,1,87.8,0:00:00,1:12:22,-158,-158
Single-Gas Dive,8/22/25 9:02,FALSE,Single-Gas Dive,0,176,1:05:32,84,110,--,--,0,--,59,1:04:30,86,Air (+1),16:22:19,No,Salt,1:05:32,1,87.8,0:00:00,1:05:32,-101,-101
Single-Gas Dive,8/21/25 15:33,FALSE,Single-Gas Dive,0,87,1:07:47,56,83,--,--,0,14,77,1:06:45,86,Air (+1),3:19:02,No,Salt,1:07:47,1,87.8,0:00:00,1:07:47,112,112
Single-Gas Dive,8/21/25 11:14,FALSE,Single-Gas Dive,0,117,1:01:37,75,94,--,--,0,--,88,1:00:35,86,Air (+1),1:36:41,No,Salt,1:01:37,1,87.8,0:00:00,1:01:37,76,76
Single-Gas Dive,8/21/25 8:37,FALSE,Single-Gas Dive,0,153,1:01:07,81,111,--,--,0,--,79,1:00:06,86,Air (+1),16:04:55,No,Salt,1:01:07,1,87.8,0:00:00,1:01:07,24,24
Single-Gas Dive,8/20/25 15:25,FALSE,Single-Gas Dive,0,153,1:08:17,79,98,--,--,0,--,63,1:07:15,86,Air (+1),2:55:35,No,Salt,1:08:17,1,87.8,0:00:00,1:08:17,133,133
